Source.Name,车牌号,报警内容,开始时间,报警时间,级别,公司,速度,数据状态,持续时长
陕A03F0U.xls,蓝:陕A03F0U,超速报警,2021/4/13 5:41,2021/4/13 5:44,1,陕西骞腾汽车运输服务有限公司,104,正常,
陕A03F0U.xls,蓝:陕A03F0U,超速报警,2021/4/13 5:58,2021/4/13 6:00,1,陕西骞腾汽车运输服务有限公司,106,正常,
陕A03F0U.xls,蓝:陕A03F0U,疲劳驾驶(夜间),2021/3/31 21:58,2021/4/1 0:00,1,陕西骞腾汽车运输服务有限公司,28,正常,
陕A03F0U.xls,蓝:陕A03F0U,疲劳驾驶(夜间),2021/4/19 21:39,2021/4/20 0:01,1,陕西骞腾汽车运输服务有限公司,58,正常,
陕A03F0U.xls,蓝:陕A03F0U,疲劳驾驶(夜间),2021/4/26 22:04,2021/4/27 0:04,1,陕西骞腾汽车运输服务有限公司,42,正常,
陕A03F0U.xls,蓝:陕A03F0U,疲劳驾驶(夜间),2021/4/27 21:01,2021/4/27 23:59,1,陕西骞腾汽车运输服务有限公司,33,正常,
陕A03F0U.xls,蓝:陕A03F0U,0-5点运营报警,2021/4/27 0:00,2021/4/27 0:18,1,陕西骞腾汽车运输服务有限公司,,正常,30分钟10秒
陕A29123D.xls,黄绿:陕A29123D,离线位移报警(58.07)km,2021/4/1 14:17,2021/4/1 16:16,1,周至县捷安达客运有限责任公司,0,正常,
陕A29123D.xls,黄绿:陕A29123D,离线位移报警(64.26)km,2021/4/3 9:36,2021/4/3 13:32,1,周至县捷安达客运有限责任公司,0,正常,
陕A29123D.xls,黄绿:陕A29123D,离线位移报警(55.53)km,2021/4/4 15:32,2021/4/4 17:23,1,周至县捷安达客运有限责任公司,0,正常,
陕A29123D.xls,黄绿:陕A29123D,离线位移报警(50.64)km,2021/4/5 16:24,2021/4/5 17:49,1,周至县捷安达客运有限责任公司,0,正常,
陕A29123D.xls,黄绿:陕A29123D,疲劳驾驶(日间),2021/4/3 15:29,2021/4/3 19:30,1,周至县捷安达客运有限责任公司,31,正常,
陕A29123D.xls,黄绿:陕A29123D,疲劳驾驶(日间),2021/4/21 14:18,2021/4/21 18:18,1,周至县捷安达客运有限责任公司,61,正常,
陕A29123D.xls,黄绿:陕A29123D,疲劳驾驶(日间),2021/4/24 6:32,2021/4/24 10:38,1,周至县捷安达客运有限责任公司,56,正常,
陕A29123D.xls,黄绿:陕A29123D,疲劳驾驶(日间),2021/4/24 12:48,2021/4/24 16:48,1,周至县捷安达客运有限责任公司,75,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 22:00,2021/4/20 22:04,1,陕西恒丰客运有限公司,105,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 22:12,2021/4/20 22:15,1,陕西恒丰客运有限公司,108,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 22:16,2021/4/20 22:20,1,陕西恒丰客运有限公司,99,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 22:25,2021/4/20 22:29,1,陕西恒丰客运有限公司,99,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 22:35,2021/4/20 22:38,1,陕西恒丰客运有限公司,99,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 22:43,2021/4/20 22:46,1,陕西恒丰客运有限公司,116,正常,
陕A39X0E.xls,蓝:陕A39X0E,超速报警,2021/4/20 23:02,2021/4/20 23:06,1,陕西恒丰客运有限公司,99,正常,
陕AK5598.xls,黄:陕AK5598,超速报警,2021/4/14 23:35,2021/4/14 23:38,1,陕西交运运输集团有限公司,84,正常,
陕AK5598.xls,黄:陕AK5598,超速报警,2021/4/18 1:24,2021/4/18 1:29,1,陕西交运运输集团有限公司,85,正常,
陕AK5598.xls,黄:陕AK5598,超速报警,2021/4/18 5:28,2021/4/18 5:33,1,陕西交运运输集团有限公司,84,正常,
陕AK5598.xls,黄:陕AK5598,超速报警,2021/4/18 5:33,2021/4/18 5:37,1,陕西交运运输集团有限公司,87,正常,
陕AK5598.xls,黄:陕AK5598,离线位移报警(74.56)km,2021/4/30 1:57,2021/4/30 7:07,1,陕西交运运输集团有限公司,0,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/2 22:43,2021/4/3 0:43,1,陕西交运运输集团有限公司,75,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/3 23:16,2021/4/4 1:16,1,陕西交运运输集团有限公司,62,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/6 22:47,2021/4/7 0:47,1,陕西交运运输集团有限公司,80,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/8 22:15,2021/4/9 0:15,1,陕西交运运输集团有限公司,78,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/12 23:03,2021/4/13 1:03,1,陕西交运运输集团有限公司,81,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/13 23:00,2021/4/14 1:00,1,陕西交运运输集团有限公司,76,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/14 22:54,2021/4/15 0:55,1,陕西交运运输集团有限公司,75,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/17 23:22,2021/4/18 1:22,1,陕西交运运输集团有限公司,71,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/18 22:54,2021/4/19 0:54,1,陕西交运运输集团有限公司,76,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/20 23:17,2021/4/21 1:17,1,陕西交运运输集团有限公司,35,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/22 22:57,2021/4/23 0:58,1,陕西交运运输集团有限公司,77,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/24 22:35,2021/4/25 0:38,1,陕西交运运输集团有限公司,38,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/25 22:48,2021/4/26 0:54,1,陕西交运运输集团有限公司,75,正常,
陕AK5598.xls,黄:陕AK5598,疲劳驾驶(夜间),2021/4/28 22:23,2021/4/29 0:23,1,陕西交运运输集团有限公司,78,正常,
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/3 0:00,2021/4/3 0:16,1,陕西交运运输集团有限公司,,正常,1小时38分钟51秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/4 0:00,2021/4/4 0:16,1,陕西交运运输集团有限公司,,正常,1小时51分钟30秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/5 0:00,2021/4/5 0:16,1,陕西交运运输集团有限公司,,正常,1小时5分钟9秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/6 0:00,2021/4/6 0:16,1,陕西交运运输集团有限公司,,正常,1小时34分钟9秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/7 0:00,2021/4/7 0:16,1,陕西交运运输集团有限公司,,正常,1小时32分钟
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/8 0:00,2021/4/8 0:16,1,陕西交运运输集团有限公司,,正常,1小时26分钟
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/9 0:00,2021/4/9 0:16,1,陕西交运运输集团有限公司,,正常,1小时36分钟
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/10 0:00,2021/4/10 0:16,1,陕西交运运输集团有限公司,,正常,1小时23分钟30秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/11 0:00,2021/4/11 0:16,1,陕西交运运输集团有限公司,,正常,1小时3分钟
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/12 0:00,2021/4/12 0:16,1,陕西交运运输集团有限公司,,正常,1小时19分钟30秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/13 0:00,2021/4/13 0:16,1,陕西交运运输集团有限公司,,正常,1小时40分钟37秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/14 0:00,2021/4/14 0:16,1,陕西交运运输集团有限公司,,正常,1小时27分钟57秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/15 0:00,2021/4/15 0:16,1,陕西交运运输集团有限公司,,正常,1小时26分钟5秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/16 0:00,2021/4/16 0:19,1,陕西交运运输集团有限公司,,正常,57分钟12秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/18 0:00,2021/4/18 0:16,1,陕西交运运输集团有限公司,,正常,50分钟24秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/19 0:00,2021/4/19 0:18,1,陕西交运运输集团有限公司,,正常,1小时34分钟13秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/20 0:00,2021/4/20 0:22,1,陕西交运运输集团有限公司,,正常,55分钟52秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/21 0:00,2021/4/21 0:16,1,陕西交运运输集团有限公司,,正常,26分钟30秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/22 0:03,2021/4/22 0:38,1,陕西交运运输集团有限公司,,正常,37分钟50秒
陕AK5598.xls,黄:陕AK5598,0-5点运营报警,2021/4/23 0:01,2021/4/23 0:34,1,陕西交运运输集团有限公司,,正常,42分钟52秒
