CA1,CA2,CA3,CA4,CA5,CA6,PE1,PE2,PE4,PE6,QM1,QM2,QM3,QM4,QM5,QM6,QM7,QM8
6.00 ,8.00 ,10,10.00 ,48.00 ,36.00 ,7.88 ,10.00 ,10.00 ,10.00 ,0.60 ,5.00 ,28.00 ,10.00 ,10.00 ,2.50 ,5.00 ,38.00 
8.00 ,8.00 ,2,10.00 ,44.00 ,38.00 ,9.08 ,8.68 ,8.68 ,0.00 ,0.80 ,10.00 ,18.00 ,8.00 ,6.00 ,2.50 ,5.00 ,32.00 
10.00 ,6.00 ,4,10.00 ,38.00 ,50.00 ,9.79 ,9.40 ,9.40 ,0.00 ,1.00 ,10.00 ,30.00 ,6.00 ,8.00 ,2.50 ,5.00 ,18.00 
8.00 ,8.00 ,0,10.00 ,38.00 ,22.00 ,9.65 ,7.66 ,7.66 ,5.00 ,0.00 ,10.00 ,24.00 ,8.00 ,8.00 ,10.00 ,10.00 ,18.00 
10.00 ,8.00 ,10,10.00 ,36.00 ,50.00 ,9.48 ,7.88 ,7.88 ,10.00 ,1.00 ,0.00 ,22.00 ,10.00 ,8.00 ,0.00 ,5.00 ,8.00 
10.00 ,6.00 ,2,10.00 ,42.00 ,36.00 ,8.73 ,6.95 ,6.95 ,10.00 ,1.00 ,2.50 ,30.00 ,10.00 ,8.00 ,2.50 ,12.50 ,16.00 
10.00 ,8.00 ,0,9.60 ,38.00 ,38.00 ,8.38 ,8.09 ,8.09 ,10.00 ,1.00 ,2.50 ,12.00 ,10.00 ,8.00 ,10.00 ,7.50 ,26.00 
8.00 ,8.00 ,8,10.00 ,38.00 ,50.00 ,9.38 ,8.83 ,8.83 ,7.50 ,1.00 ,10.00 ,24.00 ,8.00 ,8.00 ,2.50 ,5.00 ,24.00 
8.00 ,8.00 ,4,9.93 ,38.00 ,50.00 ,9.33 ,9.86 ,9.86 ,2.50 ,1.00 ,10.00 ,18.00 ,6.00 ,6.00 ,10.00 ,10.00 ,32.00 
8.00 ,8.00 ,2,10.00 ,44.00 ,40.00 ,9.33 ,8.78 ,8.78 ,0.00 ,0.10 ,0.00 ,24.00 ,8.00 ,10.00 ,10.00 ,10.00 ,10.00 
10.00 ,8.00 ,4,9.71 ,44.00 ,38.00 ,7.76 ,8.44 ,8.44 ,2.50 ,0.00 ,10.00 ,30.00 ,10.00 ,10.00 ,10.00 ,5.00 ,22.00 
8.00 ,8.00 ,2,9.48 ,38.00 ,36.00 ,7.84 ,8.74 ,8.74 ,10.00 ,1.00 ,10.00 ,30.00 ,10.00 ,8.00 ,0.00 ,7.50 ,24.00 
