排名,企业名称,报警总数,报警总得分,车辆数,单车平均分
1,延安旭启工贸有限公司,37744,236586,8,29573
2,米脂县泰安运输有限责任公司,49867,133853,9,14872
3,延安腾格尔实业发展总公司圣能加油加气站,62164,232369,16,14523
4,延安市宝塔区宏东货运配载有限公司,248797,296245,22,13465
5,延安华府运输有限公司,32130,65127,5,13025
6,延安知达汽车贸易有限公司,36994,77400,6,12900
7,陕西博丰物流有限公司,186929,475762,38,12520
8,延安欣业达能源有限公司,60700,135795,13,10445
9,富县福运达物流有限公司,63476,98969,10,9896
10,陕西榆林勤运德实业有限公司,27926,77380,8,9672
11,绥德县鼎晟运输有限公司,65972,189080,20,9454
12,陕西众能化工有限公司,30376,66048,7,9435
13,陕西豫濮鑫盛物流有限公司,6516,9165,1,9165
14,延安金石荣华工贸有限公司,205644,324266,37,8763
15,榆林市长运集团府谷客运有限公司,52018,61141,7,8734
16,榆林众泰达运输有限公司,10428,43337,5,8667
17,陕西伟华集团源通运输有限公司,66883,164186,19,8641
18,陕西新北义物流有限公司,13878,42330,5,8466
19,延安晶振炜石油科技有限公司,17269,42258,5,8451
20,陕西濮兴运输有限公司,39157,92054,11,8368
21,延安畅发工贸有限公司,92041,196760,24,8198
22,陕西中储石油天然气有限公司,16862,63802,8,7975
23,神木德运工贸有限公司,37365,169441,22,7701
24,榆林市长运汽车运输集团绥德分公司,101349,214625,28,7665
25,延安莱运工贸有限公司,52837,76022,10,7602
26,陕西新洁达运输有限公司,18960,37244,5,7448
27,延安起点运输有限公司,75429,148313,20,7415
28,延安瑞哲新能源有限公司,35245,66380,9,7375
29,延川通远石化经销有限责任公司,180582,331480,45,7366
30,陕西和顺联运道路运输有限公司,72156,223643,31,7214
31,延安东远新能源化工有限责任公司,35157,77230,11,7020
32,延安久大物流有限公司,204996,313618,45,6969
33,延安龙禹运输有限公司,8050,13448,2,6724
34,延川县众义达工贸有限责任公司,74215,133160,20,6658
35,延安顺泰运输有限公司,54213,158079,24,6586
36,延安永志泰工贸有限公司,169352,339296,52,6524
37,榆林恒瑞达运输有限公司,50946,135889,21,6470
38,延安顺通工贸有限公司,267681,645731,101,6393
39,延安智科工贸有限公司,120439,191290,30,6376
40,延安通侨石油科技有限公司,65073,95635,15,6375
41,安康市安运运输集团汽车运输汉阴宏业汽车运输有限公司,75227,108317,17,6371
42,陕西危联物流有限公司,347793,587036,93,6312
43,榆林市胜润物流有限责任公司,53096,126166,20,6308
44,陕西义道运输有限公司,19290,87202,14,6228
45,延安市纳川运输有限公司,29836,35819,6,5969
46,延安市汽车运输（集团）有限责任公司吴起客运分公司,28100,47673,8,5959
47,洛川县通运货物有限责任公司,22347,46345,8,5793
48,甘泉森源运业有限责任公司,20414,22514,4,5628
49,延安鸿翔腾工贸有限公司,51259,67504,12,5625
50,铜川宏文顺达物流有限公司,12304,50084,9,5564
51,延川县龙泽石油科技有限公司,85567,250395,45,5564
52,榆林市秦通运输有限公司,68281,127298,23,5534
53,黄陵丰茂石化有限责任公司,15924,43989,8,5498
54,延安市汽车运输（集团）有限责任公司客运一公司,54503,87118,16,5444
55,陕西志胜隆和运输有限公司,4211,27166,5,5433
56,延安源泰物流有限公司,46118,93990,18,5221
57,陕西秦鄂楚榆物流有限公司,34887,98836,19,5201
58,黄陵红峰中化工贸有限公司,8086,25579,5,5115
59,延川县振兴石油经销有限责任公司,31280,96640,19,5086
60,榆林联盛万通能源运输有限公司,10645,50680,10,5068
61,定边县闫七工贸有限责任公司,17122,45505,9,5056
62,定边县速瑞腾物流有限公司,10107,24535,5,4907
63,陕西鑫岳亿山物流有限公司,15773,38549,8,4818
64,延安市汽车运输（集团）恒益石化产品经销有限公司,20949,48084,10,4808
65,宝鸡秦通运输集团眉县第一运输有限公司,5322,23882,5,4776
66,陕西九畅工贸有限责任公司,155314,375238,79,4749
67,延安富县长盛汽车运输有限责任公司,8159,14082,3,4694
68,陕西省中轩运输有限公司,58490,149692,32,4677
69,榆林市同益运销有限公司,122482,277581,60,4626
70,渭南新浩畅物流有限公司,9113,27655,6,4609
71,延安市鑫运工贸有限公司,107246,151208,33,4582
72,汉中市医疗废物处理中心,31986,50248,11,4568
73,陕西新港物流有限公司,42325,108879,24,4536
74,陕西徽运恒通物流有限公司,48209,84338,19,4438
75,陕西聚拉贝卓实业有限责任公司,6410,21977,5,4395
76,陕西省府谷县长亨通村客运有限公司,125357,227358,52,4372
77,延安平通物流有限公司,10578,21594,5,4318
78,榆林市佳雨环境工程有限公司,32879,73353,17,4314
79,定边县福禄贸易有限责任公司,50623,129359,30,4311
80,延安兆京恒基物流有限公司,15627,42995,10,4299
81,延安华运运输有限公司,76361,93758,22,4261
82,延安市唐泰工贸有限公司,20941,51104,12,4258
83,延安瑞发工贸有限公司,103970,235670,56,4208
84,榆林市博瑞运输有限责任公司,8912,33654,8,4206
85,黄陵顺达工贸有限责任公司,48570,133563,32,4173
86,延安市汽车运输（集团）有限责任公司客运二公司,93660,158546,38,4172
87,延安同辉实业有限公司,5569,16592,4,4148
88,延安泽然新能源有限责任公司,49754,95035,23,4131
